age,occupation_risk,zone_risk,health_score,income,claim_history,premium
56,3,2,67.7,19065.43,1,767.95
46,5,3,37.2,23981.14,1,969.27
32,4,1,71.9,26956.78,1,635.15
60,3,4,63.4,31907.31,2,1048.46
25,4,5,82.0,25233.22,0,953.13
38,2,2,54.9,16800.84,0,631.2
56,2,3,62.0,19259.53,0,799.69
36,3,1,81.8,24964.15,1,557.95
40,5,3,85.7,34875.66,3,908.96
28,5,3,54.8,28422.7,2,947.0
28,2,2,67.7,18812.68,2,657.26
41,3,2,69.4,30186.98,1,694.64
53,2,4,70.6,21904.12,0,851.22
57,5,3,61.1,32123.26,0,972.05
41,5,2,84.2,45216.08,0,748.48
20,3,4,36.7,22129.39,2,979.04
39,4,3,58.7,31412.84,1,863.85
19,4,4,71.7,19036.85,3,972.17
41,3,2,71.9,24101.89,1,678.8
61,1,4,85.3,25236.5,1,865.91
47,3,4,83.0,23450.53,1,853.67
55,3,2,60.7,44704.11,3,877.91
19,3,4,84.5,22547.26,2,860.82
38,2,3,54.3,29694.81,4,863.05
50,5,5,79.0,9559.31,1,1060.95
29,2,2,92.2,28455.97,2,612.36
39,3,3,83.2,34136.44,3,814.28
61,3,3,66.6,20779.22,3,967.03
42,3,5,60.0,8000.0,0,941.3
44,3,3,42.1,24690.79,2,873.58
59,2,5,69.7,25137.47,1,1026.57
45,2,5,48.3,30792.6,2,1006.76
33,3,2,53.1,41087.22,2,786.86
32,3,4,47.1,21959.57,0,896.49
64,2,5,58.1,18149.7,3,1148.18
61,4,2,64.6,15664.66,6,1010.25
20,3,3,69.1,26584.63,1,782.8
54,3,3,56.0,28834.83,2,918.35
24,4,2,81.0,20634.76,0,666.8
38,2,1,61.9,31229.46,1,566.68
26,1,2,53.2,28723.07,3,687.95
56,4,2,68.4,25345.85,1,823.84
35,3,3,94.5,17780.68,3,766.6
21,3,2,70.0,21145.09,2,703.66
42,4,4,59.6,8000.0,2,960.94
31,4,4,42.1,26886.3,2,1027.37
26,5,1,61.7,25210.73,1,704.73
43,3,4,68.5,26507.83,1,871.02
19,3,4,59.2,29034.55,0,873.52
37,3,5,40.0,28086.57,1,1049.13
45,2,1,52.2,24116.93,0,552.04
64,3,2,86.8,25389.34,1,792.71
24,2,5,86.5,13765.47,1,857.57
61,5,5,51.7,20330.23,3,1291.53
25,3,4,75.1,25403.77,2,889.17
64,3,4,47.3,19113.17,1,1069.33
52,2,1,86.1,31881.21,2,592.46
31,1,3,68.7,19730.94,1,676.89
34,1,2,79.2,26730.44,2,589.67
53,3,2,39.3,25932.53,3,886.55
57,1,4,75.2,30970.22,0,836.83
21,3,2,64.9,32206.33,2,732.86
19,4,3,77.8,30552.26,1,813.85
23,4,5,78.7,8151.95,1,973.63
59,3,2,66.0,34553.19,0,786.09
21,2,5,56.0,37218.47,2,1000.69
46,4,5,76.7,21143.01,1,1009.1
35,4,3,64.1,26893.18,2,878.04
43,2,2,51.9,17873.35,3,727.3
61,4,3,51.2,9412.97,2,1011.65
51,2,3,42.8,19090.28,1,834.36
27,4,3,57.3,20678.89,2,885.71
53,5,2,81.5,22161.19,1,807.25
31,1,5,67.7,17328.69,0,831.41
48,4,2,57.1,19132.6,1,773.81
32,3,4,77.1,24911.95,1,855.17
25,5,1,52.5,18838.18,0,691.27
31,3,3,66.4,29348.19,3,857.03
40,4,5,62.3,30453.29,2,1077.05
57,1,2,76.7,44043.1,2,718.77
38,2,2,41.3,34005.44,1,716.44
33,1,4,52.2,26944.82,0,790.94
62,5,4,40.4,20037.89,2,1203.27
